time,open,high,low,close,tick_volume,spread,real_volume
2026-02-20 02:45:00,4999.829,4999.916,4994.318,4995.799,543,240,0
2026-02-20 02:50:00,4995.985,4998.011,4993.705,4993.705,426,240,0
2026-02-20 02:55:00,4993.832,4997.027,4992.853,4996.318,577,240,0
2026-02-20 03:00:00,4996.29,4997.379,4993.668,4995.066,507,240,0
2026-02-20 03:05:00,4995.267,4995.267,4989.638,4993.471,573,240,0
2026-02-20 03:10:00,4993.566,4996.478,4993.131,4994.423,382,240,0
2026-02-20 03:15:00,4994.423,4998.04,4994.146,4997.365,339,240,0
2026-02-20 03:20:00,4997.529,4998.378,4995.301,4995.657,342,240,0
2026-02-20 03:25:00,4995.786,4996.168,4992.17,4992.17,267,240,0
2026-02-20 03:30:00,4992.182,4998.127,4991.949,4995.772,519,240,0
2026-02-20 03:35:00,4995.892,4999.1,4995.325,4997.83,326,240,0
2026-02-20 03:40:00,4997.8,4997.8,4981.605,4987.377,1182,240,0
2026-02-20 03:45:00,4987.457,4995.369,4986.032,4995.222,725,240,0
2026-02-20 03:50:00,4995.231,4995.903,4992.092,4992.498,490,160,0
2026-02-20 03:55:00,4992.468,4992.76,4987.134,4988.088,522,240,0
2026-02-20 04:00:00,4988.184,4992.137,4986.623,4991.567,530,160,0
2026-02-20 04:05:00,4991.532,4993.022,4990.878,4991.722,346,160,0
2026-02-20 04:10:00,4991.596,4992.511,4989.894,4992.374,312,240,0
2026-02-20 04:15:00,4992.532,4992.994,4990.684,4991.148,319,240,0
2026-02-20 04:20:00,4991.377,4992.557,4990.28,4991.699,268,240,0
2026-02-20 04:25:00,4991.7,4994.593,4991.602,4994.213,274,240,0
2026-02-20 04:30:00,4994.289,4995.97,4993.402,4995.383,397,176,0
2026-02-20 04:35:00,4995.364,4996.136,4994.998,4995.625,274,160,0
2026-02-20 04:40:00,4995.617,5003.314,4995.617,4998.949,576,160,0
2026-02-20 04:45:00,4998.873,4999.902,4997.472,4997.472,376,240,0
2026-02-20 04:50:00,4997.442,4998.269,4996.225,4997.212,335,240,0
2026-02-20 04:55:00,4997.081,5000.041,4996.98,4999.736,317,176,0
2026-02-20 05:00:00,4999.916,5005.976,4999.651,5005.23,540,240,0
2026-02-20 05:05:00,5005.23,5006.145,5000.7,5000.912,458,240,0
2026-02-20 05:10:00,5000.839,5003.752,5000.29,5001.312,363,240,0
2026-02-20 05:15:00,5001.302,5002.084,4998.684,4999.34,344,240,0
2026-02-20 05:20:00,4999.332,5002.342,4998.607,5001.391,377,240,0
2026-02-20 05:25:00,5001.327,5002.451,5001.074,5001.552,362,240,0
2026-02-20 05:30:00,5001.543,5002.769,5000.627,5002.614,376,240,0
2026-02-20 05:35:00,5002.692,5004.779,5002.517,5003.239,491,240,0
2026-02-20 05:40:00,5002.951,5003.38,4997.856,4999.383,503,240,0
2026-02-20 05:45:00,4999.485,5007.269,4998.177,5006.817,566,240,0
2026-02-20 05:50:00,5006.87,5008.093,5006.349,5007.482,463,240,0
2026-02-20 05:55:00,5007.458,5011.91,5006.946,5011.91,499,240,0
2026-02-20 06:00:00,5011.747,5017.718,5011.747,5015.087,753,240,0
2026-02-20 06:05:00,5014.88,5015.168,5012.049,5012.793,473,240,0
2026-02-20 06:10:00,5012.874,5019.969,5012.874,5016.628,598,240,0
2026-02-20 06:15:00,5016.555,5018.658,5016.29,5017.314,409,240,0
2026-02-20 06:20:00,5017.0,5022.856,5016.647,5021.984,748,240,0
2026-02-20 06:25:00,5021.994,5029.685,5021.417,5022.248,924,240,0
2026-02-20 06:30:00,5022.091,5025.378,5020.657,5024.568,553,240,0
2026-02-20 06:35:00,5024.49,5027.903,5021.863,5026.978,561,240,0
2026-02-20 06:40:00,5026.903,5027.492,5025.813,5026.876,404,240,0
2026-02-20 06:45:00,5026.851,5029.735,5026.731,5029.489,468,240,0
2026-02-20 06:50:00,5029.522,5030.106,5024.721,5025.708,508,240,0
2026-02-20 06:55:00,5025.717,5025.744,5020.257,5020.758,604,240,0
2026-02-20 07:00:00,5020.642,5022.269,5015.835,5021.07,636,240,0
2026-02-20 07:05:00,5021.05,5025.984,5021.05,5025.456,657,240,0
2026-02-20 07:10:00,5025.372,5028.271,5021.751,5022.762,540,240,0
2026-02-20 07:15:00,5022.779,5023.624,5020.151,5020.413,361,240,0
2026-02-20 07:20:00,5020.414,5020.451,5011.582,5012.138,891,240,0
2026-02-20 07:25:00,5012.211,5016.082,5009.609,5015.186,752,240,0
2026-02-20 07:30:00,5015.259,5016.069,5012.554,5014.265,589,240,0
2026-02-20 07:35:00,5014.339,5018.037,5013.922,5018.037,525,240,0
2026-02-20 07:40:00,5017.863,5017.863,5013.534,5016.103,607,240,0
2026-02-20 07:45:00,5016.328,5016.367,5013.288,5014.155,410,240,0
2026-02-20 07:50:00,5014.231,5015.458,5010.419,5012.123,494,240,0
2026-02-20 07:55:00,5012.139,5012.139,5006.017,5006.527,728,240,0
2026-02-20 08:00:00,5006.606,5015.534,5006.606,5014.821,811,240,0
2026-02-20 08:05:00,5014.86,5016.472,5006.514,5006.982,878,240,0
2026-02-20 08:10:00,5006.867,5012.9,5005.025,5012.256,680,240,0
2026-02-20 08:15:00,5012.166,5013.733,5011.27,5013.614,476,240,0
2026-02-20 08:20:00,5013.59,5015.933,5011.986,5015.317,512,240,0
2026-02-20 08:25:00,5015.359,5019.723,5014.877,5018.217,625,240,0
2026-02-20 08:30:00,5018.321,5022.332,5017.583,5021.224,431,240,0
2026-02-20 08:35:00,5021.295,5027.2,5021.295,5025.766,657,240,0
2026-02-20 08:40:00,5025.898,5026.574,5021.543,5022.287,509,240,0
2026-02-20 08:45:00,5022.359,5025.523,5022.359,5024.821,541,176,0
2026-02-20 08:50:00,5024.576,5030.562,5024.421,5030.202,490,240,0
2026-02-20 08:55:00,5030.241,5030.923,5028.121,5028.786,474,240,0
2026-02-20 09:00:00,5028.788,5034.929,5027.99,5034.422,598,240,0
2026-02-20 09:05:00,5034.495,5039.166,5032.802,5039.134,877,240,0
2026-02-20 09:10:00,5039.147,5040.858,5034.654,5039.058,820,240,0
2026-02-20 09:15:00,5039.085,5042.467,5036.498,5038.56,617,240,0
2026-02-20 09:20:00,5038.502,5042.453,5036.809,5037.855,683,240,0
2026-02-20 09:25:00,5037.922,5037.946,5033.448,5034.11,601,240,0
2026-02-20 09:30:00,5034.209,5035.984,5030.117,5035.204,617,240,0
2026-02-20 09:35:00,5035.48,5035.694,5029.796,5031.633,569,240,0
2026-02-20 09:40:00,5031.685,5033.806,5031.429,5032.295,455,240,0
2026-02-20 09:45:00,5032.265,5033.663,5031.381,5033.337,483,240,0
2026-02-20 09:50:00,5033.41,5034.626,5030.729,5031.18,475,240,0
2026-02-20 09:55:00,5031.18,5031.317,5027.44,5027.44,464,240,0
2026-02-20 10:00:00,5027.727,5028.807,5024.2,5024.909,605,240,0
2026-02-20 10:05:00,5024.891,5025.91,5022.686,5024.932,558,240,0
2026-02-20 10:10:00,5024.912,5026.607,5019.446,5025.864,625,240,0
2026-02-20 10:15:00,5026.072,5030.866,5025.008,5029.424,576,240,0
2026-02-20 10:20:00,5029.741,5029.951,5025.734,5025.892,558,240,0
2026-02-20 10:25:00,5026.039,5026.799,5023.188,5026.351,553,240,0
2026-02-20 10:30:00,5026.642,5034.184,5026.625,5033.307,635,240,0
2026-02-20 10:35:00,5033.284,5038.461,5033.181,5036.566,538,240,0
2026-02-20 10:40:00,5036.558,5037.318,5032.406,5033.98,486,240,0
2026-02-20 10:45:00,5033.926,5034.058,5025.942,5029.42,715,240,0
2026-02-20 10:50:00,5029.614,5036.131,5029.128,5035.194,570,240,0
2026-02-20 10:55:00,5035.272,5037.08,5033.048,5034.623,452,240,0
2026-02-20 11:00:00,5034.766,5034.885,5032.153,5033.048,433,240,0
2026-02-20 11:05:00,5032.811,5034.157,5032.542,5033.712,377,240,0
2026-02-20 11:10:00,5033.672,5034.871,5030.856,5031.355,384,240,0
2026-02-20 11:15:00,5031.449,5032.306,5029.356,5031.413,444,240,0
2026-02-20 11:20:00,5031.561,5032.4,5027.85,5028.568,468,240,0
2026-02-20 11:25:00,5028.739,5029.921,5025.966,5028.756,504,240,0
2026-02-20 11:30:00,5028.762,5033.482,5027.028,5032.236,584,240,0
2026-02-20 11:35:00,5032.044,5033.256,5026.226,5026.468,554,240,0
2026-02-20 11:40:00,5026.393,5027.369,5022.415,5027.022,639,240,0
2026-02-20 11:45:00,5027.181,5028.615,5016.049,5022.686,1118,240,0
2026-02-20 11:50:00,5022.523,5023.422,5018.403,5020.365,829,240,0
2026-02-20 11:55:00,5020.265,5020.265,5015.493,5017.392,793,240,0
2026-02-20 12:00:00,5017.465,5022.539,5013.508,5020.663,1065,240,0
2026-02-20 12:05:00,5020.61,5023.786,5018.353,5022.935,821,240,0
2026-02-20 12:10:00,5023.013,5023.134,5019.224,5022.454,506,240,0
2026-02-20 12:15:00,5022.529,5023.388,5017.061,5019.465,609,240,0
2026-02-20 12:20:00,5019.329,5019.459,5014.347,5015.792,614,240,0
2026-02-20 12:25:00,5015.773,5018.467,5011.69,5012.162,630,240,0
2026-02-20 12:30:00,5012.242,5023.007,5007.165,5021.198,1251,240,0
2026-02-20 12:35:00,5021.145,5024.223,5020.764,5022.631,594,240,0
2026-02-20 12:40:00,5022.558,5025.447,5019.536,5025.04,643,240,0
2026-02-20 12:45:00,5024.885,5025.502,5022.021,5022.569,484,240,0
2026-02-20 12:50:00,5022.688,5023.315,5021.527,5022.412,393,240,0
2026-02-20 12:55:00,5022.435,5026.613,5021.741,5025.107,515,240,0
2026-02-20 13:00:00,5025.048,5028.338,5023.545,5028.338,474,240,0
2026-02-20 13:05:00,5028.309,5028.819,5026.032,5026.771,518,240,0
2026-02-20 13:10:00,5026.842,5027.688,5025.041,5025.525,424,240,0
2026-02-20 13:15:00,5025.601,5030.463,5025.089,5029.377,528,240,0
2026-02-20 13:20:00,5029.406,5031.293,5026.973,5030.202,617,240,0
2026-02-20 13:25:00,5030.279,5031.967,5028.111,5028.858,547,240,0
2026-02-20 13:30:00,5028.775,5031.703,5018.189,5023.678,1164,240,0
2026-02-20 13:35:00,5023.797,5029.693,5020.879,5029.087,1066,240,0
2026-02-20 13:40:00,5029.159,5031.908,5025.74,5031.146,886,240,0
2026-02-20 13:45:00,5030.828,5042.246,5030.828,5040.88,1036,176,0
2026-02-20 13:50:00,5041.219,5048.335,5040.733,5045.43,1303,240,0
2026-02-20 13:55:00,5045.357,5048.724,5042.901,5043.691,878,240,0
2026-02-20 14:00:00,5043.619,5045.576,5038.943,5040.356,1178,240,0
2026-02-20 14:05:00,5040.353,5046.757,5037.13,5044.877,1019,240,0
2026-02-20 14:10:00,5044.853,5047.19,5039.665,5043.107,829,240,0
